SEP=,
Translation key (DON'T EDIT),TRANSLATION IN zh_cn - EDIT THIS COLUMN,English text (DON'T EDIT - reference only)
entity.mcanomalyarchives.stange_cloud,伪云,Stange Cloud
item.mcanomalyarchives.stange_cloud_spawn_egg,伪云刷怪蛋,Stange Cloud Spawn Egg
item.mcanomalyarchives.cloud_stone,云石,Cloud Stone
item.mcanomalyarchives.cloud_dem,云石打火机,Cloud Stone snd Steel
item.mcanomalyarchives.cloud_water_bucket,云水桶,Cloud Water Bucket
fluid.mcanomalyarchives.cloud_water,云水,Cloud Water
fluid_type.mcanomalyarchives.cloud_water,云水,Cloud Water
block.mcanomalyarchives.cloud_water,云水,Cloud Water
effect.mcanomalyarchives.clouding,云化,Clouding
item.mcanomalyarchives.cloud_water_bottle,云水瓶,Cloud Water Bottle
advancements.strange_stone.title,奇怪的石头?,Strange Stone?
advancements.strange_stone.descr,获得一块奇怪的石头,Get a strange stone
advancements.strange_water.title,奇怪的水?,Strange Water?
advancements.strange_water.descr,获得一瓶奇怪的水,Get a strange water
advancements.return_home_1.descr,喝下云水,Drink the cloud water
advancements.return_home_1.title,归乡,Return Home
advancements.return_home_2.title,归乡。,Return Home.
advancements.return_home_2.descr,欢迎回家。,Welcome Home.
item.mcanomalyarchives.corn_poppy,虞美人？,Corn Poppy
effect.mcanomalyarchives.addicte,上瘾,Addicte
effect.mcanomalyarchives.sad,悲伤,Sad
item.mcanomalyarchives.icon,图标,Icon
item_group.mcanomalyarchives.anomaly_archives,诡异见闻录,MC Anomaly Archives
advancements.welcome.title,欢迎来到诡异见闻录！,Welcome to mc anomaly archives!
advancements.welcome.descr,欢迎来到诡异见闻录！,Welcome to mc anomaly archives!
entity.mcanomalyarchives.anbula,安布拉,Anbula
item.mcanomalyarchives.anbula_spawn_egg,安布拉刷怪蛋,Anbula Spawn Egg
advancements.gettogarden.descr,一个美丽的花园,A beautiful garden
advancements.gettogarden.title,到达花园,Arrive at the garden
death.attack.braindamage.item,%1$s 因为 %2$s 用 %3$s 而脑死亡,%1$s is brain dead by %2$s using %3$s
death.attack.braindamage,%1$s 脑死亡,%1$s is brain dead
death.attack.braindamage.player,%1$s 在逃离 %2$s 时脑死亡,%1$s is brain dead whilst trying to escape %2$s
item.mcanomalyarchives.sadicon,伤心图标,Sadicon
item.mcanomalyarchives.hearticon,爱心图标,Hearticon
advancements.sobeautiful.title,多么美丽！,So beautiful
advancements.sobeautiful.descr,观赏花朵,Watch the flower
advancements.watchdeath.title,已腐烂,Rotted
advancements.watchdeath.descr,观赏花朵直到死亡,Watch the flower until death
advancements.whyletmesad.title,为什么要让我心碎！,Why do you break my heart?
advancements.whyletmesad.descr,停止看花一段时间,Stop watching for a long time
item.mcanomalyarchives.sad_poppy,悲伤的虞美人,Sad Poppy
item.mcanomalyarchives.dead_poppy,死亡的虞美人,Dead Poppy
item.mcanomalyarchives.prisoner_spawn_egg,死刑犯刷怪蛋,Prisoner Spawn Egg
entity.mcanomalyarchives.prisoner,死刑犯,Prisoner
